date,pm25,pm10,o3,no2,so2,co,AQI
2022/1/13,65.0,54.0,3.0,37.0,0.0,0.0,65.0
2022/1/14,104.0,67.0,2.0,35.0,0.0,0.0,104.0
2022/1/15,153.0,35.0,8.0,24.0,0.0,0.0,153.0
2022/1/16,87.0,38.0,9.0,28.0,0.0,0.0,87.0
2022/1/17,77.0,43.0,15.0,31.0,0.0,0.0,77.0
2022/1/18,65.0,34.0,11.0,25.0,0.0,0.0,65.0
2022/1/19,68.0,26.0,23.0,23.0,0.0,0.0,68.0
2022/1/20,50.0,30.0,19.0,26.0,0.0,0.0,50.0
2022/1/21,47.0,30.0,21.0,23.0,0.0,0.0,47.0
2022/1/22,61.0,28.0,21.0,21.0,0.0,0.0,61.0
2022/1/23,65.0,43.0,11.0,32.0,0.0,0.0,65.0
2022/1/24,86.0,54.0,0.0,30.0,0.0,0.0,86.0
2022/1/25,120.0,50.0,13.0,28.0,0.0,0.0,120.0
2022/1/26,108.0,42.0,9.0,26.0,0.0,0.0,108.0
2022/1/27,93.0,22.0,16.0,26.0,0.0,0.0,93.0
2022/1/28,66.0,15.0,0.0,19.0,0.0,0.0,66.0
2022/1/29,52.0,25.0,26.0,21.0,0.0,0.0,52.0
2022/1/30,45.0,25.0,26.0,16.0,0.0,0.0,45.0
2022/1/31,38.0,21.0,23.0,26.0,0.0,0.0,38.0
2021/10/1,47.0,20.0,21.0,25.0,0.0,0.0,47.0
2021/10/2,41.0,17.0,27.0,20.0,0.0,0.0,41.0
2021/10/3,39.0,26.0,25.0,30.0,0.0,0.0,39.0
2021/10/4,42.0,19.0,28.0,23.0,0.0,0.0,42.0
2021/10/5,26.0,21.0,26.0,16.0,0.0,0.0,26.0
2021/10/6,25.0,34.0,19.0,33.0,0.0,0.0,34.0
2021/10/7,53.0,26.0,21.0,28.0,0.0,0.0,53.0
2021/10/8,50.0,34.0,9.0,33.0,0.0,0.0,50.0
2021/10/9,73.0,43.0,26.0,25.0,0.0,0.0,73.0
2021/10/10,78.0,31.0,21.0,22.0,0.0,0.0,78.0
2021/10/11,55.0,31.0,16.0,23.0,0.0,0.0,55.0
2021/10/12,36.0,30.0,24.0,31.0,0.0,0.0,36.0
2021/10/13,44.0,47.0,20.0,38.0,0.0,0.0,47.0
2021/10/14,81.0,47.0,18.0,39.0,0.0,0.0,81.0
2021/10/15,81.0,29.0,15.0,35.0,0.0,0.0,81.0
2021/10/16,60.0,43.0,25.0,34.0,0.0,0.0,60.0
2021/10/17,64.0,35.0,9.0,30.0,0.0,0.0,64.0
2021/10/18,64.0,29.0,21.0,35.0,0.0,0.0,64.0
2021/10/19,50.0,26.0,31.0,24.0,0.0,0.0,50.0
2021/10/20,45.0,31.0,32.0,19.0,0.0,0.0,45.0
2021/10/21,30.0,31.0,18.0,28.0,0.0,0.0,31.0
2021/10/22,45.0,30.0,17.0,32.0,0.0,0.0,45.0
2021/10/23,54.0,32.0,18.0,29.0,0.0,0.0,54.0
2021/10/24,61.0,36.0,12.0,30.0,0.0,0.0,61.0
2021/10/25,64.0,24.0,20.0,25.0,0.0,0.0,64.0
2021/10/26,45.0,36.0,13.0,31.0,0.0,0.0,45.0
2021/10/27,61.0,35.0,18.0,34.0,0.0,0.0,61.0
2021/10/28,58.0,29.0,17.0,35.0,0.0,0.0,58.0
2021/10/29,57.0,20.0,0.0,31.0,0.0,0.0,57.0
2021/10/30,48.0,19.0,19.0,24.0,0.0,0.0,48.0
2021/10/31,42.0,17.0,25.0,20.0,0.0,0.0,42.0
2021/11/1,30.0,22.0,21.0,27.0,0.0,0.0,30.0
2021/11/2,29.0,18.0,21.0,21.0,0.0,0.0,29.0
2021/11/3,44.0,16.0,16.0,21.0,0.0,0.0,44.0
2021/11/4,30.0,20.0,21.0,19.0,0.0,0.0,30.0
2021/11/5,30.0,31.0,11.0,31.0,0.0,0.0,31.0
2021/11/6,73.0,24.0,21.0,20.0,0.0,0.0,73.0
2021/11/7,45.0,34.0,21.0,27.0,0.0,0.0,45.0
